Dt,weight
4445.021,3.8299407743697335e-06
4460.515,3.7932605505792096e-06
4475.845,1.0269358814137221e-06
4486.063,3.885001601647081e-06
4487.42,4.552771391926035e-07
4498.971,1.15827048759876e-06
4477.029,1.0816031407374175e-06
4474.090999999999,1.751290220772237e-05
4474.674,2.1894984777180403e-06
4477.026,8.483086437337793e-06
4476.459,2.9022882121999046e-06
4451.988,3.2831588280447406e-06
4463.4220000000005,2.1640047653441056e-06
4432.896,2.087715511942825e-06
4429.479,3.6725600163895797e-06
4432.265,4.5091916072599505e-07
4437.587,8.811981324110779e-07
4436.005,4.328909630398727e-06
4452.0509999999995,7.562121951297788e-07
4458.563,8.599263777050912e-09
4459.705,7.557123689868049e-06
4464.407,5.472456653162557e-06
4453.472,7.358384768684956e-06
4429.692,6.886159964112012e-06
4432.787,8.495868369043566e-07
4457.394,8.744156618703517e-06
4445.706,1.4925907318245837e-06
4464.65,5.13229117689114e-06
4467.3859999999995,1.5291548969131786e-06
4452.8,1.0341408056294699e-06
4436.45,6.605514548354278e-06
4430.623,9.75348046314541e-07
